store_id,name,prefecture,address,latitude,longitude,source_url
bowl-a-tomakomai,GiGO BOWLイオンモール苫小牧,北海道,北海道苫小牧市柳町3丁目1番20号 イオンモール苫小牧内,42.657063,141.640335,https://www.gigo.co.jp/shops/bowl-a-tomakomai
bowl-a-sapporo-teine,GiGO BOWLイオン札幌手稲駅前ショッピングセンター,北海道,北海道札幌市手稲区前田1条11丁目1-1 イオン札幌手稲駅前店 3F,43.121407,141.247055,https://www.gigo.co.jp/shops/bowl-a-sapporo-teine
bowl-shirakaba,GiGO BOWLドリームタウン白樺,北海道,北海道帯広市白樺16条西2丁目 ドリームタウン白樺内,42.918865,143.173309,https://www.gigo.co.jp/shops/bowl-shirakaba
bowl-norbesa,GiGO BOWLノルベサ,北海道,北海道札幌市中央区南3条西5丁目1-1 NORBESA 6F,43.056099,141.350815,https://www.gigo.co.jp/shops/bowl-norbesa
bowl-muroran,GiGO BOWL室蘭,北海道,北海道室蘭市東町4丁目31番3号,42.342724,141.025772,https://www.gigo.co.jp/shops/bowl-muroran
d-hakodate,GiGO MEGAドン･キホーテ函館,北海道,北海道函館市美原1-7-1 MEGAドン･キホーテ函館店2F,41.814320,140.756210,https://www.gigo.co.jp/shops/d-hakodate
sapporo-susukino,GiGOすすきの,北海道,北海道札幌市中央区南三条西4-11 シルバービルB区画,43.056313,141.352371,https://www.gigo.co.jp/shops/sapporo-susukino
chitose-yumai,GiGOちとせモール,北海道,北海道千歳市勇舞8丁目1-1 ちとせモール2F,42.853889,141.627457,https://www.gigo.co.jp/shops/chitose-yumai
a-tomakomai,GiGOイオンモール苫小牧,北海道,北海道苫小牧市柳町3丁目1番20号 イオンモール苫小牧内,42.657063,141.640335,https://www.gigo.co.jp/shops/a-tomakomai
a-sapporo-teine,GiGOイオン札幌手稲駅前ショッピングセンター,北海道,北海道札幌市手稲区前田1条11丁目1-1 イオン札幌手稲駅前店 3F,43.121407,141.247055,https://www.gigo.co.jp/shops/a-sapporo-teine
kamiiso,GiGOクレーンゲームオアシス スーパーセンタートライアル上磯,北海道,北海道北斗市七重浜7丁目14番地1 スーパーセンタートライアル上磯店内,41.820625,140.696213,https://www.gigo.co.jp/shops/kamiiso
cocono-susukino,GiGOココノススキノ,北海道,北海道札幌市中央区南四条西4-1-1 COCONO SUSUKINO 3F,43.055187,141.352646,https://www.gigo.co.jp/shops/cocono-susukino
cafestand-norbesa,GiGOコラボカフェスタンド ノルベサ,北海道,北海道札幌市中央区南三条西5丁目1-1 NORBESA 6F,43.056099,141.350815,https://www.gigo.co.jp/shops/cafestand-norbesa
muroran-chuo,GiGOスーパーアークス室蘭中央,北海道,北海道室蘭市中央町3丁目1番8号 スーパーアークス室蘭中央店3F,42.315075,140.975510,https://www.gigo.co.jp/shops/muroran-chuo
shirakaba,GiGOドリームタウン白樺,北海道,北海道帯広市白樺16条西2丁目 ドリームタウン白樺内,42.918865,143.173309,https://www.gigo.co.jp/shops/shirakaba
asahikawa,GiGOメガセンタートライアル旭川,北海道,北海道旭川市6条通14丁目64 メガセンタートライアル旭川店2F,43.768482,142.372208,https://www.gigo.co.jp/shops/asahikawa
hakodate-showa,GiGO函館昭和,北海道,北海道函館市昭和3丁目24-18 ゲオ函館昭和店内,41.818886,140.734024,https://www.gigo.co.jp/shops/hakodate-showa
kitami,GiGO北見,北海道,北海道北見市西三輪5丁目1番地16,43.796532,143.842224,https://www.gigo.co.jp/shops/kitami
muroran,GiGO室蘭,北海道,北海道室蘭市東町4丁目31番3号,42.342724,141.025772,https://www.gigo.co.jp/shops/muroran
obihiro-inada,GiGO帯広稲田,北海道,北海道帯広市稲田町南8線西12番地1 スズランボウル内,42.891060,143.196091,https://www.gigo.co.jp/shops/obihiro-inada
sapporo-nishiguchi,GiGO札幌駅西口,北海道,北海道札幌市北区北六条西6丁目1-1 WEST6,43.068222,141.346115,https://www.gigo.co.jp/shops/sapporo-nishiguchi
hachinohe,GiGO八戸,青森県,青森県八戸市城下4-25-14,40.520016,141.497299,https://www.gigo.co.jp/shops/hachinohe
hirosaki,GiGO弘前,青森県,青森県弘前市末広1-3-3,40.604122,140.500687,https://www.gigo.co.jp/shops/hirosaki
